"","locus","observed","median","percentile2.5th","percentile97.5th","pop"
"383","AGBro35",0.146453089244851,0.142155388471178,-0.0274122807017545,0.332409972299169,"Witte Burg"
"384","AGBro375",0.0313765182186234,0.0296052631578948,-0.0910221883964639,0.183674028822055,"Witte Burg"
"385","AGBro403",0.0534804753820034,0.0444078947368421,-0.0622159090909091,0.17765507518797,"Witte Burg"
"386","AGBro419",0.0982905982905983,0.0838273568536726,-0.0600452302631579,0.286184210526316,"Witte Burg"
"387","AGBro467",0.0295055821371611,0.0149770733652312,-0.0716423660502607,0.130738052026618,"Witte Burg"
"388","AGBro480",0.0169779286926995,0.00250689728353142,-0.0936919504643963,0.147579887218045,"Witte Burg"
"389","AGBro487",0.0263157894736842,0.0149122807017544,-0.101469378869969,0.161302631578947,"Witte Burg"
"390","AGBro57",0.359861591695502,0.359861591695502,0.110726643598616,0.4921875,"Witte Burg"
"391","AGBro76",-0.00614035087719299,-0.0133847549909256,-0.13469150818222,0.137921052631579,"Witte Burg"
"392","AGBro9",0.0283975659229209,0.0152329749103943,-0.069536701044054,0.11807518115942,"Witte Burg"
"393","AGBro110",-0.0649671052631579,-0.0701754385964912,-0.147368421052632,0.0390653357531758,"Ter Yde IWVA"
"394","AGBro111",-0.0287828947368421,-0.0419407894736842,-0.120303599908863,0.0648496240601504,"Ter Yde IWVA"
"395","AGBro116",-0.0511982570806101,-0.0609498072733367,-0.148018337879507,0.0587916666666667,"Ter Yde IWVA"
"396","AGBro12",-0.00679117147707987,-0.0166666666666666,-0.106121358082707,0.110173422060899,"Ter Yde IWVA"
"397","AGBro138",-0.0378947368421052,-0.0378947368421052,-0.0907441016333938,-0.00501253132832065,"Ter Yde IWVA"
"398","AGBro144",0.157239819004525,0.135416666666667,-0.00509612878915935,0.328511780206154,"Ter Yde IWVA"
"399","AGBro153",0.037719298245614,0.0276032823995473,-0.0882352941176471,0.177125506072875,"Ter Yde IWVA"
"400","AGBro16",-0.00837320574162681,-0.00837320574162681,-0.0326315789473684,0,"Ter Yde IWVA"
"401","AGBro161",-0.0861244019138756,-0.0952012383900929,-0.172207080200501,0.00473527568922298,"Ter Yde IWVA"
"402","AGBro20",-0.00146198830409347,-0.00146198830409347,-0.0119047619047618,0,"Ter Yde IWVA"
"403","AGBro218",-0.0399274047186933,-0.0422932330827068,-0.156299840510367,0.113684210526316,"Ter Yde IWVA"
"404","AGBro227",-0.0459401709401709,-0.047008547008547,-0.0949189814814815,-0.0146854575163399,"Ter Yde IWVA"
"405","AGBro234",0.0606995884773662,0.0499092558983666,-0.0929216163449376,0.245172667572464,"Ter Yde IWVA"
"406","AGBro266",-0.0761278195488722,-0.0761278195488722,-0.138980263157895,-0.0274122807017545,"Ter Yde IWVA"
"407","AGBro299",-0.00339366515837109,-0.0212830048022746,-0.106057791537668,0.116007249025341,"Ter Yde IWVA"
"408","AGBro307",0.0961538461538461,0.0921052631578947,-0.0640350877192983,0.276674641148325,"Ter Yde IWVA"
"409","AGBro32",0.0941295546558704,0.0852826510721248,-0.0535087719298246,0.276315789473684,"Ter Yde IWVA"
"410","AGBro337",-0.0328947368421052,-0.0412280701754386,-0.122697368421053,0.0866228070175438,"Ter Yde IWVA"
"411","AGBro35",0.3046875,0.290657439446367,0,0.48,"Ter Yde IWVA"
"412","AGBro375",-0.129817444219067,-0.137096774193548,-0.209150326797386,-0.0207932692307693,"Ter Yde IWVA"
"413","AGBro403",-0.0324543610547667,-0.0447138069169084,-0.127450980392157,0.0716164147572595,"Ter Yde IWVA"
"414","AGBro419",0.163333333333333,0.15582995951417,0.00628863614411285,0.318205213903743,"Ter Yde IWVA"
