"","locus","observed","median","percentile2.5th","percentile97.5th","pop"
"148","AGBro16",-0.00119047619047616,-0.00119047619047616,-0.00978260869565226,0,"Oostvoordduinen2018"
"149","AGBro161",-0.0455882352941176,-0.0580882352941176,-0.161848254504505,0.0810107758620688,"Oostvoordduinen2018"
"150","AGBro20",-0.00978260869565226,-0.00978260869565226,-0.0346153846153846,0,"Oostvoordduinen2018"
"151","AGBro218",0.0384615384615385,0.0213675213675213,-0.117744076797386,0.222387490465293,"Oostvoordduinen2018"
"152","AGBro227",-0.0403225806451613,-0.0482758620689656,-0.0978571428571429,0.0151991071428571,"Oostvoordduinen2018"
"153","AGBro234",0.104310344827586,0.0885929802955665,-0.046344696969697,0.281275,"Oostvoordduinen2018"
"154","AGBro266",-0.0629310344827587,-0.0629310344827587,-0.128030303030303,-0.021,"Oostvoordduinen2018"
"155","AGBro299",-0.0191666666666666,-0.028448275862069,-0.0904411764705882,0.039837962962963,"Oostvoordduinen2018"
"156","AGBro307",0.119230769230769,0.110185185185185,-0.0453703703703703,0.294565217391304,"Oostvoordduinen2018"
"157","AGBro32",-0.075,-0.075,-0.169444444444445,0.0392857142857142,"Oostvoordduinen2018"
"158","AGBro337",0.087962962962963,0.087962962962963,-0.0656250000000001,0.251086956521739,"Oostvoordduinen2018"
"159","AGBro35",0.145833333333333,0.140909090909091,-0.025,0.332142857142857,"Oostvoordduinen2018"
"160","AGBro375",-0.03,-0.0353448275862069,-0.144117647058824,0.110185185185185,"Oostvoordduinen2018"
"161","AGBro403",-0.0139705882352941,-0.0265388257575758,-0.102631578947368,0.0774193548387096,"Oostvoordduinen2018"
"162","AGBro419",-0.01015625,-0.0212086397058824,-0.130439189189189,0.143813657407407,"Oostvoordduinen2018"
"163","AGBro467",0.025735294117647,0.015,-0.0750164473684211,0.117860887096774,"Oostvoordduinen2018"
"164","AGBro480",-0.120414673046252,-0.124353734715577,-0.190611664295875,-0.0568687686460276,"Oostvoordduinen2018"
"165","AGBro487",-0.157236842105263,-0.163157894736842,-0.208974358974359,-0.0928447420634921,"Oostvoordduinen2018"
"166","AGBro57",0.0597826086956522,0.0597826086956522,-0.0346153846153846,0.2,"Oostvoordduinen2018"
"167","AGBro76",-0.065,-0.0735714285714286,-0.147299075391181,0.0354926075268817,"Oostvoordduinen2018"
"168","AGBro9",0.00902777777777777,-0.0041666666666667,-0.0809292763157894,0.11017578125,"Oostvoordduinen2018"
"169","AGBro110",0.00525210084033615,-0.0010893246187364,-0.116727941176471,0.14093137254902,"Astridlaan2018"
"170","AGBro111",0.130208333333333,0.106299603174603,-0.0333367139959432,0.311024305555556,"Astridlaan2018"
"171","AGBro116",-0.0479302832244009,-0.0578093306288032,-0.140468601755218,0.0659816176470587,"Astridlaan2018"
"172","AGBro12",0.0384615384615385,0.0233230311355311,-0.0865571631878558,0.16984126984127,"Astridlaan2018"
"173","AGBro138",0.0699404761904762,0.0460358056265984,-0.0754550339366515,0.251470588235294,"Astridlaan2018"
"174","AGBro144",-0.000980392156862697,-0.0139621365787694,-0.112132352941176,0.114488017429194,"Astridlaan2018"
"175","AGBro153",0.0856777493606138,0.0735294117647058,-0.0526960784313725,0.245183823529412,"Astridlaan2018"
"176","AGBro16",-0.0016339869281045,-0.0016339869281045,-0.013235294117647,0,"Astridlaan2018"
"177","AGBro161",0.06640625,0.0526389533085962,-0.0743739826983361,0.23296875,"Astridlaan2018"
"178","AGBro20",-0.00183823529411765,-0.00183823529411765,-0.0148026315789474,0,"Astridlaan2018"
"179","AGBro218",-0.1125,-0.1125,-0.189393939393939,-0.0460358056265984,"Astridlaan2018"
"180","AGBro227",0.0919117647058824,0.0788235294117647,-0.0482636554621849,0.278795836516425,"Astridlaan2018"
"181","AGBro234",-0.0324543610547667,-0.0395537525354969,-0.15599376114082,0.078054298642534,"Astridlaan2018"
"182","AGBro266",-0.0991285403050109,-0.0991285403050109,-0.173624288425047,-0.0357736572890026,"Astridlaan2018"
"183","AGBro299",-0.107843137254902,-0.118627450980392,-0.188419117647059,-0.0183969421101775,"Astridlaan2018"
"184","AGBro307",0.03125,0.0223214285714286,-0.127100840336134,0.22037037037037,"Astridlaan2018"
"185","AGBro32",0.00941176470588235,0.00941176470588235,-0.129817444219067,0.179271708683473,"Astridlaan2018"
"186","AGBro337",-0.0961538461538462,-0.10609243697479,-0.186220012198428,0.0183823529411764,"Astridlaan2018"
"187","AGBro35",0.100840336134454,0.0767263427109974,-0.0460358056265984,0.26625386996904,"Astridlaan2018"
"188","AGBro375",0.0971867007672634,0.0767263427109974,-0.0827886710239652,0.275710139318885,"Astridlaan2018"
"189","AGBro403",-0.0274509803921568,-0.0354969574036511,-0.115692041522491,0.0735294117647059,"Astridlaan2018"
"190","AGBro419",0.13179347826087,0.119318181818182,-0.0412954306722689,0.340392545907252,"Astridlaan2018"
"191","AGBro467",0.0235294117647059,0.00771663504111321,-0.0827247660427807,0.130759803921569,"Astridlaan2018"
"192","AGBro480",0.08984375,0.0712669683257918,-0.0673770860701601,0.26672268907563,"Astridlaan2018"
"193","AGBro487",-0.0598039215686274,-0.0696078431372549,-0.154233511586453,0.0392429193899782,"Astridlaan2018"
"194","AGBro57",-0.00208333333333324,-0.00183823529411765,-0.0189757393341952,0,"Astridlaan2018"
"195","AGBro76",0.185049019607843,0.167519181585678,-0.00874183006535954,0.383926820728291,"Astridlaan2018"
"196","AGBro9",-0.0623885918003565,-0.0739750445632798,-0.11159169550173,-0.0123339658444023,"Astridlaan2018"
"197","AGBro110",0.0263157894736842,0.0149122807017544,-0.104489164086687,0.183223684210526,"Mt St Frieux2018"
