"populations" "actual" "lower" "upper"
"132" "Averbode_P15,  vs  SpanjaardduinenOostende_G153," 5e-04 -0.0344 0.0776
"133" "Averbode_P15,  vs  TerYdeIWVA_407," 0.0014 -0.0345 0.0678
"134" "Averbode_P15,  vs  TerYdeWest_382," 0.0058 -0.0351 0.0864
"135" "Averbode_P15,  vs  Tropiflora_31," 5e-04 -0.0298 0.0585
"136" "Averbode_P15,  vs  Veurne_569," 1e-04 -0.0339 0.0696
"137" "Averbode_P15,  vs  Vloethemveld-Noord_F16," 0.0289 -0.0135 0.0902
"138" "Averbode_P15,  vs  Vloethemveld-Zuid_F28," 0.0257 -0.0276 0.1169
"139" "Averbode_P15,  vs  WarandeduinenMiddelkerke_G117," 0.0107 -0.0391 0.1044
"140" "Averbode_P15,  vs  WesthoekNO_140," 0.0013 -0.0351 0.0778
"141" "Averbode_P15,  vs  WesthoekOost_529," 0.0035 -0.0355 0.0812
"142" "Averbode_P15,  vs  Westhoekvissersdorp_226," 0.0048 -0.0402 0.076
"143" "Averbode_P15,  vs  WesthoekZuid_9," 0.0037 -0.0295 0.0711
"144" "Averbode_P15,  vs  Wetteren_548," 0.0721 0.0295 0.133
"145" "Averbode_P15,  vs  WitteBurg_339," 0.0047 -0.0333 0.0871
"146" "Averbode_P15,  vs  Zwinbosjes_596," 0.074 0.0132 0.1559
"147" "Averbode_P15,  vs  Zwinbosjes-grazed_G229," 0.0256 -0.0217 0.1063
"148" "Belvedere_324,  vs  Bredene_G205," 0.0021 -0.0347 0.0671
"149" "Belvedere_324,  vs  Cabour_60," -0.0031 -0.0186 0.0385
"150" "Belvedere_324,  vs  DuinbossenDeHaan_G26," 0.0035 -0.028 0.0597
"151" "Belvedere_324,  vs  FortNapoleon_G304," 0.0014 -0.0239 0.0496
"152" "Belvedere_324,  vs  Geel-Bel_292," 0.0419 -0.0059 0.1089
"153" "Belvedere_324,  vs  Hamont-Achel1_D111," 0.0597 0.0214 0.1086
